序号,角色,作品,CV,预选赛第一轮,预选赛第二轮,第一阶段第一轮,第一阶段第二轮,第一阶段第三轮,第一阶段第四轮,第二阶段第一轮,第二阶段第二轮,第二阶段第三轮,第二阶段第四轮,第三阶段第一轮,第三阶段第二轮,第三阶段第三轮,第三阶段第四轮,淘汰赛第一轮,淘汰赛第二轮,淘汰赛第三轮,淘汰赛第四轮,累计得票数
1,小鸟游六花,中二病也要谈恋爱！,内田真礼,1462,2486,5806.0,6337.0,5444.0,5551.0,3998.0,5858.0,4334.0,,5485.0,4059.0,4156.0,,2227.0,,3816.0,,49425
2,樱岛麻衣,青春猪头少年,濑户麻沙美,1139,2195,5530.0,5558.0,5038.0,4490.0,3579.0,3895.0,4057.0,4062.0,4375.0,2996.0,4042.0,,3930.0,2546.0,2626.0,,42404
3,时崎狂三,约会大作战,真田麻美,1103,1872,4516.0,4674.0,4551.0,1543.0,3340.0,3912.0,3424.0,752.0,3432.0,3095.0,3337.0,468/17257.2,,,,,37256
4,中野三玖,五等分的新娘,伊藤美来,1302,2360,5751.0,5049.0,5681.0,1588.0,3146.0,3943.0,3197.0,773.0,3287.0,3159.0,2592.0,573/18010.3,2523.0,,2511.0,,39467
5,锦木千束,莉可丽丝,安济知佳,1217,1592,4355.0,4893.0,3562.0,,2169.0,2964.0,3221.0,,,,,,3396.0,21522.9,,,23973
6,椎名真白,樱花庄的宠物女孩,茅野爱衣,1136,2681,4419.0,5019.0,4681.0,885.0,3473.0,4103.0,3971.0,1508.0,4118.0,3261.0,2763.0,3064/33119.1,2035.0,,2876.0,,39625
7,友利奈绪,Charlotte,佐仓绫音,1255,2160,5935.0,5316.0,5427.0,2731.0,3865.0,5568.0,4499.0,1655.0,4740.0,4357.0,3944.0,802,4052.0,2184.0,1285.0,,47066
8,秋山澪,轻音少女,日笠阳子,1316,2029,5404.0,5558.0,4678.0,2678.0,3443.0,3984.0,3682.0,2055.0,4379.0,3665.0,2428.0,751,3209.0,,3907.0,,40566
9,平泽唯,轻音少女,丰崎爱生,1353,2057,5059.0,4635.0,5224.0,1906.0,3254.0,3817.0,3216.0,1026.0,4265.0,3580.0,3107.0,815,3705.0,2261.0,3130.0,,39567
10,四宫辉夜,辉夜大小姐想让我告白～天才们的恋爱头脑战～,古贺葵,944,1600,4111.0,4763.0,3050.0,,3005.0,2266.0,3367.0,,,,,,3816.0,20759.4,,,23106
