序号,角色,作品,CV,预选 轮次1-1,预选 轮次1-2,预选 轮次2-1,预选 轮次2-2,预选 轮次3-1,预选 轮次3-2,第一阶段 轮次 1,第一阶段 轮次 2,第一阶段 轮次 3,第一阶段 轮次 4,第一阶段 轮次 5,第一阶段 轮次 6,第二阶段 轮次 1,第二阶段 轮次 2,第二阶段 轮次 3,第二阶段 轮次 4,第二阶段 轮次 5,第二阶段 轮次 6,第三阶段 轮次 1,第三阶段 轮次 2,第三阶段 轮次 3,第三阶段 轮次 4,第三阶段 轮次 5,第三阶段 轮次 6,第四阶段 轮次 1,第四阶段 轮次 2,第四阶段 轮次 3,第四阶段 轮次 4,第四阶段 轮次 5,第四阶段 轮次 6,第五阶段 轮次 1,第五阶段 轮次 2,第五阶段 轮次 3,第五阶段 轮次 4,第五阶段 轮次 5,第五阶段 轮次 6,淘汰赛阶段 轮次 1,淘汰赛阶段 轮次 2,淘汰赛阶段 轮次 3,淘汰赛阶段 轮次 4,淘汰赛阶段 轮次 5,淘汰赛阶段 轮次 6,淘汰赛阶段 轮次 7,淘汰赛阶段 轮次 8,淘汰赛阶段 轮次 9
1,友利奈绪,Charlotte,佐仓绫音,1710,,1178,,,,1349,1238,1017,1628,1396,205,1432,1311,1114,1165,2093,330,1193,2170,1540,1104,992,220,1043,1013,1073,1423,1704,555,1235,970,910,656,662,288,621,1586,944,733,,,,14549.8,
2,白,NO GAME NO LIFE 游戏人生,茅野爱衣,1543,,,1686,,,1439,1133,1047,1352,1421,88,1378,1180,1141,1142,2099,883,1173,2156,1469,929,1215,,1115,876,862,1214,1740,,1075,913,850,903,822,,985,1451,,830,1016,2236,,,
3,平泽唯,轻音少女,丰崎爱生,1406,,,1592,,,1090,993,895,714,1287,,1205,1033,982,1099,2041,394,989,1299,1064,578,1131,904,547,639,898,1208,1499,975,1097,643,585,676,722,193/7775.9,,,,,6799.2,,,,
4,要乐奈,BanG Dream!,青木阳菜,1193,,882,,,,1043,885,860,803,1420,,1147,994,963,1113,1585,,929,1279,1171,618,686,765,594,541,461,842,1331,,,,,,,,,,5889.7,,,,,,
5,中野梓,轻音少女,竹达彩奈,1168,,,1376,,,1054,911,734,861,959,,1164,827,958,671,1778,,473,1743,777,827,894,792,546,628,595,1063,1542,530,,,,,,,,,,,,,,,
6,伊地知虹夏,孤独摇滚！,铃代纱弓,1167,,1050,,,,1144,993,921,1293,962,,1083,1036,1009,1078,1485,,822,1297,1372,631,938,,763,710,773,953,1401,742,781,507,489,681,528,,,,,8505.5,,,,,
7,白井黑子,魔法禁书目录,新井里美,1143,,966,,,,1143,869,765,960,1274,,894,766,819,469,1413,,706,1287,988,459,1047,,515,602,483,1080,1870,862,1363,608,460,459,463,9270.2,388,923,,,,17701.9,,,
8,田井中律,轻音少女,佐藤聪美,1099,,,1299,,,974,594,612,1116,690,,836,962,611,902,1416,,429,1204,782,655,431,765,636,712,393,657,1368,,,,,,,,,,6348.7,,,,,,
9,三角初华,BanG Dream!,佐佐木李子,1069,,,1371,,,932,766,648,856,998,,1053,883,906,744,1827,,574,1650,851,796,833,427,,,,,,,,,,,,,,,,,,,,,
10,四宫辉夜,辉夜大小姐想让我告白～天才们的恋爱头脑战～,古贺葵,1066,,965,,,,1174,1298,923,1357,902,,1172,1003,968,1139,1779,185,1060,1866,1714,896,1065,90,963,1053,996,1388,1796,78,962,951,966,1218,799,99,716,1736,762,,,,13209.7,,
